TradingDay,index_code,prev_close,open_price,high_price,low_price,close_price,turnover_volume,turnover_value,negotiable_mv,change_pct,index_return,net_buy_value,buy_value_xl,sell_value_xl,buy_value_l,sell_value_l,buy_value_m,sell_value_m,buy_value_s,sell_value_s,free_float_mktval
2020-12-28,000985,5485.7165,5487.7391,5511.6929,5460.2816,5483.8079,65401321553.0,816108475482.0,34549472560000.0,-0.03479217,-0.00034792169999999997,-5763522113.46,149505025449.33,138770252240.23,110655355612.3,116212705790.53,110923534531.39,119493921192.0,34088561554.94,36459120038.66,30696443205801.93
2020-12-29,000985,5483.8079,5486.5689,5501.6216,5449.0595,5454.4269,64656312788.0,796218865393.0,34364305030000.0,-0.53577734,-0.0053577734,-278375551.46,147756283981.95,148211527656.6,109237007237.46,109917788240.11,108021988567.31,108057217283.08,32954965590.76,32062087749.15,30534811120417.45
2020-12-30,000985,5454.4269,5451.1765,5525.3526,5450.291,5524.2397,60780824570.0,779124377430.0,34804200240000.0,1.27992915,0.0127992915,44547692530.43,187397754348.16,144473881488.8,105181184011.93,102235709328.07,93339119161.02,94603366505.91,25917977916.24,25975385584.14,30945620864115.52
2020-12-31,000985,5524.2397,5533.774,5623.7745,5533.774,5621.7288,66855248296.0,887968757282.0,35418307710000.0,1.76475145,0.017647514500000003,54056903117.15,199718562485.23,155368599965.72,122329699858.02,114888693832.61,115157884949.6,112979037983.93,33806683387.24,33719595780.68,31585171927510.63
2021-01-04,000985,5621.7288,5632.8679,5725.8606,5613.4157,5712.1841,77936499107.0,1087433866437.0,35987743800000.0,1.60902995,0.016090299500000002,49450500605.92,256620132061.12,214061069041.4,148502228606.43,140000005571.91,127853890322.22,128731851347.63,35465933003.75,36198757426.66,32106497765828.75
2021-01-05,000985,5712.1841,5691.3423,5780.6687,5678.2142,5780.6687,82755477818.0,1179998358325.0,36418901720000.0,1.19892144,0.011989214399999998,18550153480.21,281275084030.22,248228385969.68,155543858363.77,158949994778.89,128130264217.74,136713194791.63,34325049755.6,36832527346.92,32514435548116.08
2021-01-06,000985,5780.6687,5793.436,5818.7864,5726.489,5791.312,76429619446.0,1088151171987.0,36485955710000.0,0.18411884,0.0018411884,-19493070627.57,272115799286.18,262538999985.77,135703569237.52,147821418662.55,102664918184.75,116142004798.99,23844764438.24,27319698326.95,32590934329342.39
2021-01-07,000985,5791.312,5791.3952,5819.752,5739.873,5819.752,83401709348.0,1131347286970.0,36664879450000.0,0.49108043,0.0049108043,869686152.52,263477750946.08,232081158737.97,147399709489.15,157483989396.14,122772661257.09,139194521441.96,32458365360.86,36479131324.59,32749597598545.18
2021-01-08,000985,5819.752,5826.0093,5841.296,5756.6187,5804.6007,72976553439.0,1062807665812.0,36562628410000.0,-0.26034271,-0.0026034270999999998,9664268929.82,248657620480.94,244131198592.54,136611886975.45,134287217136.97,118428564791.52,116677446244.54,32537895595.66,31475836939.7,32664576438933.48
2021-01-11,000985,5804.6007,5810.5267,5839.1229,5697.8504,5726.6583,76643277596.0,1133779493236.0,36089883200000.0,-1.34276937,-0.0134276937,-43551524431.14,260899390874.21,268018222631.76,137122492301.86,152241182731.83,114293800050.85,131616232718.92,32798301649.35,36789871224.9,32234791788071.23
