TradingDay,index_code,prev_close,open_price,high_price,low_price,close_price,turnover_volume,turnover_value,change_pct,negotiable_mv,index_return
2020-12-28,000922.SH,4612.8617,4617.3598,4619.9556,4570.9253,4582.1406,3291517982.0,37617174999.0,-0.66598788,109433100000.0,-0.0066598787999999996
2020-12-29,000922.SH,4582.1406,4583.3824,4592.6885,4540.313,4543.6309,3010338333.0,34706593228.0,-0.84043034,108513390000.0,-0.0084043034
2020-12-30,000922.SH,4543.6309,4542.7646,4580.6351,4534.0278,4562.0025,3110679602.0,33425021176.0,0.40433742,108952150000.0,0.0040433742
2020-12-31,000922.SH,4562.0025,4562.3269,4599.761,4562.1471,4595.5919,3689882901.0,39501892393.0,0.73628631,109754350000.0,0.0073628631
2021-01-04,000922.SH,4595.5919,4595.0693,4620.8785,4571.4549,4611.3054,4831815090.0,55840142869.0,0.34192549,110129630000.0,0.0034192549
2021-01-05,000922.SH,4611.3054,4602.0117,4622.8843,4561.4464,4621.5191,4900497573.0,57153149027.0,0.2214926,110373550000.0,0.0022149260000000003
2021-01-06,000922.SH,4621.5191,4631.6493,4646.6673,4596.9695,4632.2019,4428395154.0,52785173292.0,0.23115343,110628690000.0,0.0023115342999999997
2021-01-07,000922.SH,4632.2019,4639.7937,4641.6781,4566.6354,4600.7744,4900524912.0,55320430181.0,-0.67845704,109878120000.0,-0.0067845703999999995
2021-01-08,000922.SH,4600.7744,4598.9729,4631.9964,4560.623,4614.1771,4725822103.0,55707796787.0,0.291314,110198210000.0,0.0029131400000000003
2021-01-11,000922.SH,4614.1771,4610.1733,4622.9276,4553.5703,4562.9926,5590397428.0,65575141901.0,-1.10928772,109627860000.0,-0.0110928772
2021-01-12,000922.SH,4562.9926,4551.1434,4600.7916,4548.3095,4600.2092,4394783214.0,50812286514.0,0.81561824,110522000000.0,0.0081561824
2021-01-13,000922.SH,4600.2092,4600.1332,4605.5773,4567.2031,4593.3933,5488024009.0,62113001980.0,-0.148165,110358250000.0,-0.00148165
2021-01-14,000922.SH,4593.3933,4575.9491,4600.6956,4558.9402,4576.9088,5189499974.0,56013143237.0,-0.35887412,109962200000.0,-0.0035887412000000004
2021-01-15,000922.SH,4576.9088,4582.5659,4614.6443,4571.7239,4603.7158,6212917675.0,68738224680.0,0.58570099,110606250000.0,0.0058570099
2021-01-18,000922.SH,4603.7158,4602.6011,4644.2139,4597.6846,4638.6807,4810939604.0,57479618739.0,0.75949302,111446300000.0,0.0075949302
2021-01-19,000922.SH,4638.6807,4633.3442,4693.3323,4620.1213,4663.3179,5331453316.0,58931610973.0,0.53112515,112038210000.0,0.0053112515
2021-01-20,000922.SH,4663.3179,4656.4881,4669.5003,4633.8639,4656.5359,4206606292.0,47044642312.0,-0.14543293,111875270000.0,-0.0014543293
2021-01-21,000922.SH,4656.5359,4655.0971,4693.9246,4643.4441,4676.9502,4180979275.0,48972322559.0,0.438401,112365740000.0,0.00438401
2021-01-22,000922.SH,4676.9502,4669.1208,4669.1208,4611.1962,4626.2076,4156407091.0,48872852767.0,-1.08495062,111146620000.0,-0.010849506200000001
2021-01-25,000922.SH,4626.2076,4611.3388,4611.3388,4553.1217,4559.4781,4125724775.0,50153810556.0,-1.44242338,109543420000.0,-0.014424233799999998
2021-01-26,000922.SH,4559.4781,4549.5115,4566.711,4520.2528,4530.2734,3311177237.0,39770380953.0,-0.64052726,108841760000.0,-0.0064052726
2021-01-27,000922.SH,4530.2734,4528.1541,4560.9884,4525.7563,4533.9075,3742369715.0,43440102595.0,0.08021812,108929070000.0,0.0008021812000000001
2021-01-28,000922.SH,4533.9075,4503.5393,4507.5779,4461.4724,4469.6817,3580852211.0,41463790442.0,-1.41656617,107386020000.0,-0.0141656617
2021-01-29,000922.SH,4469.6817,4483.4135,4490.7891,4398.1468,4431.6174,4126229083.0,47791188423.0,-0.85161098,106471510000.0,-0.0085161098
2021-02-01,000922.SH,4431.6174,4425.1869,4484.5748,4413.9326,4482.1023,4010564486.0,45677613490.0,1.13919807,107684430000.0,0.0113919807
2021-02-02,000922.SH,4482.1023,4485.9648,4513.852,4481.6894,4512.3273,3931572247.0,49515646551.0,0.67434873,108410600000.0,0.0067434873
2021-02-03,000922.SH,4512.3273,4510.3738,4511.6565,4461.4909,4475.7413,3802421188.0,46265729276.0,-0.81080111,107531610000.0,-0.0081080111
2021-02-04,000922.SH,4475.7413,4463.4552,4463.4552,4391.59,4431.3025,3973665100.0,47908820565.0,-0.99288134,106463940000.0,-0.0099288134
2021-02-05,000922.SH,4431.3025,4432.598,4474.6922,4429.5442,4447.2495,5859754672.0,59238607595.0,0.35987162,106847080000.0,0.0035987162
2021-02-08,000922.SH,4447.2495,4454.1729,4501.0902,4442.0058,4492.1841,4608310571.0,49949906102.0,1.0103908,107926650000.0,0.010103908
2021-02-09,000922.SH,4492.1841,4493.907,4551.7572,4484.6613,4548.4678,4343195138.0,50420874868.0,1.25292505,109278890000.0,0.0125292505
2021-02-10,000922.SH,4548.4678,4559.3867,4588.4052,4546.7027,4581.2664,5068833110.0,53140995088.0,0.72109118,110066890000.0,0.007210911800000001
2021-02-18,000922.SH,4581.2664,4648.8502,4698.3608,4648.8502,4692.4479,6337384328.0,66750283030.0,2.42687262,112738070000.0,0.0242687262
2021-02-19,000922.SH,4692.4479,4685.921,4776.3217,4676.3196,4774.448,5226315672.0,58467444930.0,1.7474909,114624410000.0,0.017474909
2021-02-22,000922.SH,4774.448,4788.0887,4909.2514,4788.0887,4826.0832,7522188002.0,76657460036.0,1.08149047,115864060000.0,0.0108149047
2021-02-23,000922.SH,4826.0832,4815.1775,4828.9355,4777.8554,4789.9579,5812417998.0,60208730815.0,-0.74854283,114996760000.0,-0.0074854283
2021-02-24,000922.SH,4789.9579,4789.7232,4810.3778,4709.7266,4737.7627,5198389404.0,56559666498.0,-1.08967972,113743670000.0,-0.010896797199999999
2021-02-25,000922.SH,4737.7627,4777.533,4833.6564,4764.6232,4805.2054,6753914435.0,72399083780.0,1.42351368,115362830000.0,0.0142351368
2021-02-26,000922.SH,4805.2054,4725.4134,4772.7788,4698.258,4705.6248,6022143986.0,67564029166.0,-2.07234846,112972110000.0,-0.0207234846
2021-03-01,000922.SH,4705.6248,4728.8477,4803.1688,4728.8477,4801.196,4601561913.0,51933230193.0,2.03099916,115266570000.0,0.0203099916
2021-03-02,000922.SH,4801.196,4826.5484,4830.3639,4731.8128,4759.4813,4954594538.0,54708467426.0,-0.86883976,114265090000.0,-0.0086883976
2021-03-03,000922.SH,4759.4813,4759.3718,4872.0351,4759.3718,4870.2766,6174291338.0,63464021362.0,2.32788602,116925050000.0,0.023278860199999998
